time,z_normalized
0.05,0.2504433335013492
0.05,0.2412879811944113
0.05,0.22917707221181005
0.05,0.21490791951721278
0.05,0.19927325381587568
0.05,0.1829054267686372
0.05,0.16623058840780258
0.05,0.14940911777778765
0.05,0.13238144551923825
0.05,0.11488180064426534
0.05,0.09654818473833005
0.05,0.07692237196024432
0.05,0.055720262288471156
0.05,0.03260735085894395
0.05,0.007482827986601492
0.05,-0.019671635362204953
0.05,-0.0487323182103534
0.05,-0.07943803182836728
0.05,-0.11139011973441237
0.05,-0.1440845335031824
0.05,-0.17691183276589706
0.05,-0.2092030077944217
0.05,-0.24026155531015037
0.05,-0.26945970591065516
0.05,-0.29633465149633653
0.05,-0.32066186140501196
0.05,-0.3425513098385672
0.05,-0.3621404645493578
0.05,-0.3800066900972814
0.05,-0.39678233814317754
0.05,-0.41315016519041603
0.05,-0.42976085193348423
0.05,-0.44709095324721737
0.05,-0.465387911085858
0.063,-0.4781220072124749
0.05,-0.5048549027873876
0.05,-0.5250305865748993
0.053,-0.5432038234364189
0.058,-0.5590080326989963
0.054,-0.5762648178781395
0.056,-0.5894571398459447
0.05,-0.5930358836656235
0.054,-0.5903690092699089
0.05,-0.5842425297732241
0.051,-0.5758020097785397
0.05,-0.565446105767689
0.05,-0.5536834484243907
0.05,-0.5403124183785222
0.05,-0.5248656252720718
0.05,-0.5069673239152649
0.05,-0.4863013384776822
0.05,-0.46280809959996905
0.05,-0.4366754798770126
0.05,-0.4083479583747649
0.05,-0.3784578867540658
0.05,-0.34772467958558073
0.05,-0.31682651111426774
0.05,-0.2862857587990819
0.05,-0.25637735814473517
0.05,-0.22709214463440464
0.05,-0.1981322714713173
0.05,-0.16901660152222642
0.05,-0.1394793637992422
0.05,-0.10941058410047977
0.05,-0.0788331737179987
0.05,-0.04785252459527223
0.05,-0.01664734481036312
0.05,0.014557834974545436
0.05,0.04552473732203666
0.05,0.07602424931151552
0.05,0.1057172838205036
0.05,0.13420976662557882
0.05,0.1611626106042623
0.05,0.1863741963864307
0.05,0.20965665137719758
0.05,0.2308587610489703
0.05,0.24987513345827628
0.05,0.26663703472893663
0.05,0.2811353003441277
0.05,0.2933057786860831
0.05,0.3031759633052744
0.05,0.3110482832568855
0.051,0.3172068385624538
0.05,0.32188074214257223
0.05,0.3250333359299462
0.05,0.3268158344521679
0.05,0.32726947803494433
0.05,0.32621555860021156
0.05,0.3230217244871305
0.05,0.31719767404563015
0.05,0.30851429435511557
0.05,0.29699907896605926
0.05,0.2828169891812877
0.05,0.26622921373027886
0.05,0.247611497802807
0.05,0.22745872530735478
0.05,0.20635284306223145
0.05,0.184939949503512
0.05,0.16387072532568392
0.05,0.14375461089752695
0.05,0.12513689497005465
0.05,0.10845289209239639
0.05,0.09395462647720532
0.05,0.081701667483836
0.05,0.07153821832628449
0.05,0.06307020478112824
0.05,0.055720262288471156
0.05,0.04876897627764798
0.05,0.04139154023451974
0.05,0.03277231216177201
0.05,0.022141472646208138
0.05,0.008894163577460645
0.05,-0.007400347335187907
0.05,-0.02690702139456458
0.05,-0.049561706982903964
0.05,-0.07502073471931381
0.051,-0.10246846260648035
0.055,-0.13319250525814186
0.055,-0.1605302589434232
0.06,-0.18348279132853462
0.065,-0.21091219018205343
0.087,-0.21861038431401314
0.055,-0.22527757030329998
0.05,-0.22495222995605635
0.05,-0.22352256533154946
0.054,-0.222771074952001
0.05,-0.22386623471244071
0.05,-0.2273762446559413
0.056,-0.2345245677784752
0.056,-0.24442224594813833
0.05,-0.2566018888069177
0.051,-0.2660688346858633
0.056,-0.28918632837380265
0.065,-0.3095178089473182
0.056,-0.33757039494485275
0.052,-0.35808058359643147
0.078,-0.3785220383718322
0.051,-0.39757506884843297
0.058,-0.406373004999244
0.056,-0.4067716614810776
0.05,-0.40048480293997724
0.053,-0.38962485050381956
0.051,-0.37783011735163785
0.05,-0.365668803526506
0.051,-0.3534937429261389
0.052,-0.34138741620194935
0.051,-0.32926734270252445
0.052,-0.3183157450981292
0.05,-0.30765282977368247
0.051,-0.29710905316794434
0.05,-0.28701892014498265
0.05,-0.27709833068326073
0.05,-0.26726480413136455
0.05,-0.257458771129939
0.05,-0.24762982683645463
0.05,-0.23776422447567502
0.05,-0.2278940398564836
0.05,-0.21807426007982322
0.05,-0.20837361902187101
0.05,-0.19883335700833515
0.05,-0.1895405369490406
0.05,-0.1804630830351046
0.05,-0.17153684364876076
0.05,-0.16265184458812387
0.05,-0.15365228906718953
0.05,-0.14435030449107156
0.05,-0.13451677793917538
0.051,-0.1237713819633145
0.05,-0.1124852794948521
0.05,-0.10036978825383902
0.05,-0.08747989534121814
0.05,-0.07364605719574979
0.05,-0.05840088345942207
0.05,-0.04192766446871021
0.05,-0.024886245434925014
0.05,-0.008037281254439366
0.05,0.007922724794142022
0.05,0.022558458161689332
0.05,0.03570953980378744
0.05,0.0475134374727928
0.05,0.05839171894259798
0.05,0.06887592618898153
0.05,0.07939679150265966
0.05,0.09012385844487292
0.05,0.10117168347591798
0.05,0.11266398757291496
0.05,0.12460077073586473
0.052,0.13741734751389556
0.05,0.14976653393391426
0.05,0.1621157203539334
0.05,0.17461153904313242
0.051,0.18757016583193153
0.05,0.20020345227348746
0.05,0.212648866120156
0.05,0.224723117035462
0.05,0.2363620534016393
0.05,0.24726324616350404
0.05,0.2574496066131149
0.05,0.2668524008742945
