t,x,y,z
0.050, -10175.535, -2566.306, 827.638
0.050, -10178.723, -2575.156, 829.875
0.050, -10182.832, -2583.881, 832.336
0.050, -10187.665, -2592.128, 834.985
0.050, -10193.002, -2599.555, 837.754
0.050, -10198.618, -2605.855, 840.559
0.050, -10204.308, -2610.781, 843.314
0.050, -10209.901, -2614.155, 845.937
0.050, -10215.275, -2615.866, 848.360
0.050, -10220.362, -2615.869, 850.540
0.050, -10225.155, -2614.178, 852.460
0.050, -10229.696, -2610.847, 854.132
0.050, -10234.071, -2605.966, 855.591
0.050, -10238.401, -2599.653, 856.890
0.050, -10242.823, -2592.043, 858.094
0.050, -10247.476, -2583.275, 859.271
0.050, -10252.482, -2573.474, 860.485
0.050, -10257.931, -2562.743, 861.790
0.050, -10263.875, -2551.156, 863.227
0.050, -10270.323, -2538.762, 864.818
0.050, -10277.246, -2525.592, 866.574
0.050, -10284.579, -2511.672, 868.490
0.050, -10292.226, -2497.034, 870.558
0.050, -10300.072, -2481.741, 872.759
0.050, -10307.991, -2465.885, 875.067
0.050, -10315.859, -2449.604, 877.444
0.050, -10323.563, -2433.071, 879.844
0.050, -10331.012, -2416.481, 882.215
0.050, -10338.150, -2400.015, 884.510
0.050, -10344.931, -2383.885, 886.679
0.050, -10351.310, -2368.338, 888.590
0.050, -10357.206, -2353.725, 889.946
0.050, -10362.561, -2340.343, 890.525
0.050, -10367.330, -2328.418, 890.217
0.050, -10371.511, -2318.041, 889.007
0.050, -10374.998, -2309.511, 887.009
0.050, -10377.796, -2302.814, 884.366
0.050, -10379.872, -2297.990, 881.252
0.050, -10381.205, -2295.038, 877.840
0.050, -10381.788, -2293.912, 874.268
0.050, -10381.637, -2294.516, 870.629
0.050, -10380.793, -2296.702, 866.958
0.050, -10379.330, -2300.271, 863.242
0.050, -10377.351, -2304.969, 859.423
0.050, -10374.986, -2310.497, 855.422
0.050, -10372.383, -2316.536, 851.139
0.050, -10369.713, -2322.720, 846.512
0.050, -10367.129, -2328.741, 841.468
0.050, -10364.776, -2334.301, 835.985
0.050, -10362.769, -2339.180, 830.059
0.050, -10361.186, -2343.233, 823.717
0.050, -10360.058, -2346.400, 817.016
0.050, -10359.375, -2348.708, 810.043
0.050, -10359.075, -2350.262, 802.908
0.050, -10359.059, -2351.239, 795.744
0.050, -10359.194, -2351.857, 788.697
0.050, -10359.337, -2352.356, 781.919
0.050, -10359.345, -2352.967, 775.547
0.050, -10359.098, -2353.893, 769.682
0.050, -10358.508, -2355.292, 764.373
0.050, -10357.524, -2357.278, 759.596
0.050, -10356.146, -2359.893, 755.321
0.050, -10354.397, -2363.149, 751.422
0.050, -10352.331, -2367.005, 747.761
0.050, -10350.014, -2371.384, 744.189
0.050, -10347.513, -2376.189, 740.564
0.050, -10344.887, -2381.311, 736.782
0.050, -10342.169, -2386.652, 732.789
0.063, -10340.314, -2390.292, 730.010
0.050, -10336.449, -2397.739, 724.176
0.050, -10333.371, -2403.373, 719.773
0.053, -10330.269, -2408.663, 715.807
0.058, -10327.124, -2413.667, 712.358
0.054, -10322.518, -2420.339, 708.592
0.056, -10316.403, -2428.374, 705.713
0.050, -10311.368, -2434.556, 704.932
0.054, -10305.351, -2441.663, 705.514
0.050, -10299.355, -2448.653, 706.851
0.051, -10293.033, -2456.065, 708.693
0.050, -10286.383, -2464.050, 710.953
0.050, -10279.670, -2472.454, 713.520
0.050, -10272.870, -2481.467, 716.438
0.050, -10266.075, -2491.094, 719.809
0.050, -10259.474, -2501.146, 723.715
0.050, -10253.221, -2511.414, 728.225
0.050, -10247.491, -2521.580, 733.352
0.050, -10242.447, -2531.265, 739.055
0.050, -10238.222, -2540.057, 745.237
0.050, -10234.899, -2547.559, 751.760
0.050, -10232.507, -2553.427, 758.467
0.050, -10231.016, -2557.401, 765.210
0.050, -10230.340, -2559.342, 771.875
0.050, -10230.345, -2559.249, 778.402
0.050, -10230.873, -2557.263, 784.793
0.050, -10231.771, -2553.705, 791.113
0.050, -10232.907, -2549.030, 797.467
0.050, -10234.159, -2543.727, 803.913
0.050, -10235.411, -2538.264, 810.475
0.050, -10236.565, -2533.054, 817.148
0.050, -10237.545, -2528.426, 823.909
0.050, -10238.311, -2524.601, 830.719
0.050, -10238.856, -2521.684, 837.529
0.050, -10239.197, -2519.663, 844.287
0.050, -10239.369, -2518.423, 850.943
0.050, -10239.428, -2517.802, 857.423
0.050, -10239.447, -2517.623, 863.641
0.050, -10239.476, -2517.708, 869.523
0.050, -10239.522, -2517.869, 875.025
0.050, -10239.560, -2517.957, 880.106
0.050, -10239.537, -2517.859, 884.733
0.050, -10239.378, -2517.506, 888.883
0.050, -10238.995, -2516.856, 892.541
0.050, -10238.297, -2515.886, 895.705
