Position_X,Position_Y,Position_Z,Orientation_Roll,Orientation_Pitch,Orientation_Yaw,Angular_Velocity_Roll,Angular_Velocity_Pitch,Angular_Velocity_Yaw,Load_Position_X,Load_Position_Y,Load_Position_Z,Wave_Height,Load_Velocity_Z,Buoyant_Force_1_X,Buoyant_Force_1_Y,Buoyant_Force_2_X,Buoyant_Force_2_Y
0.0,0.0,-0.8599867539831345,-0.002969975812981736,-0.0005967037165700162,0.0,-0.0013799410979927693,0.0003572719210584254,0.0,15.0,0.0,25.31052126183023,-0.44590830217714983,-0.1269077444912514,10137.914168979061,10187.161162309441,10208.066974843821,10257.313968174203
0.0,0.0,-0.8660279732704416,-0.0028258811654948575,-0.0005324486946718361,0.0,0.002881892949737567,0.0012851004379635998,0.0,15.0,0.0,25.31643200653418,-0.45447383444891953,-0.1208243857461419,10082.108716866464,10134.869139935668,10148.729148898356,10201.489571967559
0.0,0.0,-0.8718757979733693,-0.002475888857022359,-0.00042631205266671906,0.0,0.006999846169449967,0.0021227328401023423,0.0,15.0,0.0,25.322266690963183,-0.46234976699896957,-0.11695649405855521,10040.044355188205,10091.023547012996,10100.188450967804,10151.167642792594
0.0,0.0,-0.8776111071787239,-0.0019478620315476472,-0.00028465474847583986,0.0,0.010560536509494243,0.002833146083817583,0.0,15.0,0.0,25.328093130903547,-0.4695241492143612,-0.11470618410709277,10014.55983997616,10058.640218877852,10065.569232936816,10109.64961183851
0.0,0.0,-0.8832785498152945,-0.0012875310974120467,-0.00011540942961448168,0.0,0.013206618682712008,0.0033849063772271636,0.0,15.0,0.0,25.33393978264081,-0.4759860949854612,-0.11334885273141164,10007.405805009994,10040.163543414612,10047.023483293657,10079.781221698275
0.0,0.0,-0.888882545683142,-0.0005538879333840017,7.226747780942719e-05,0.0,0.014672863280560899,0.003753538148478177,0.0,15.0,0.0,25.339792346213628,-0.48172579922413367,-0.11207991735694788,10019.12853004414,10037.280197640215,10045.59712337715,10063.748790973226
0.0,0.0,-0.8943858656909489,0.0001867589364692525,0.00026839699179127135,0.0,0.014812937397065082,0.003922590279636883,0.0,15.0,0.0,25.345592986705874,-0.486734552741544,-0.11006640015613868,10049.036533514463,10050.770607813933,10061.174849905286,10062.908924204758
0.0,0.0,-0.8997109002704102,0.0008674679594615654,0.00046261464242367657,0.0,0.013614180459846258,0.003884353012648104,0.0,15.0,0.0,25.351242332353365,-0.4910047554631157,-0.10650069158922526,10095.25031642084,10080.410077304248,10092.504796480616,10077.664557364025
0.0,0.0,-0.9047435936110565,0.0014274120180123916,0.0006446243497060766,0.0,0.011198881171016521,0.0036401941456480004,0.0,15.0,0.0,25.356604261943154,-0.49452992796059103,-0.10065386681292514,10154.830402483822,10124.92973348493,10137.29925083953,10107.398581840638
0.0,0.0,-0.9093398869283974,0.001818008327060785,0.0008046493411020835,0.0,0.007811926180967868,0.003200499827920137,0.0,15.0,0.0,25.361513317297856,-0.49730472128362463,-0.09192586634681758,10223.974289708105,10182.044788129462,10192.403232775827,10150.473731197186
0.0,0.0,-0.9133343714582525,0.0020078117855329173,0.0009338604723333706,0.0,0.003796069169442645,0.002584222624625741,0.0,15.0,0.0,25.365784381213956,-0.49932492507606413,-0.07988969059710109,10298.269123547625,10248.553963573513,10254.01897867418,10204.303818700064
0.0,0.0,-0.9165507001018383,0.0019856777696893,0.0010247633074865338,0.0,-0.0004426803168723469,0.0018180567030632666,0.0,15.0,0.0,25.369224067322953,-0.5005874739645804,-0.06432657287171616,10372.983838625478,10320.509308686393,10317.971306988255,10265.496777049171
0.0,0.0,-0.9188131514173139,0.0017618751504508909,0.0010715271169014738,0.0,-0.004476052384768181,0.0009352761882987999,0.0,15.0,0.0,25.3716430995376,-0.5010904522099198,-0.04524902630951193,10443.382194407857,10393.450177075141,10379.996455356575,10330.064438023865
0.0,0.0,-0.9199585954258555,0.0013670372478049562,0.0010702414802936935,0.0,-0.007896758052918694,-2.5712732155605458e-05,0.0,15.0,0.0,25.372868836587145,-0.500833096613785,-0.02290888017083008,10505.036578749918,10462.689215654795,10436.035315847377,10393.687952752256
0.0,0.0,-0.9198480000912381,0.0008490566464754893,0.00101908932763849,0.0,-0.010359612026589339,-0.0010230430531040704,0.0,15.0,0.0,25.372757037744584,-0.499815797676868,0.0022119066923474706,10554.121772876651,10523.632360157866,10482.51115634594,10452.021743627152
0.0,0.0,-0.9183765676926068,0.00026823733638101056,0.0009184288786777773,0.0,-0.011616386201889574,-0.002013208979214254,0.0,15.0,0.0,25.371201978834698,-0.4980400990063297,0.029428647972627182,10587.668260892084,10572.109773505339,10516.572109033892,10501.013621647142
0.0,0.0,-0.9154816273965799,-0.0003088063904077464,0.0007707809012839059,0.0,-0.011540874535775139,-0.0029529595478774285,0.0,15.0,0.0,25.36814411659818,-0.49550869497357974,0.05789880592053696,10603.756403292253,10604.691214678507,10536.280216541623,10537.21502792788
0.0,0.0,-0.9111475501769198,-0.0008158882388994897,0.0005807218305073159,0.0,-0.010141636969834864,-0.003801181415531799,0.0,15.0,0.0,25.363574662480417,-0.4922254266259727,0.08668154439320169,10601.636150526467,10618.958282697788,10540.731935526363,10558.054067697682
0.0,0.0,-0.9054071935263626,-0.0011939449485789877,0.0003546873935952531,0.0,-0.007561134193589961,-0.0045206887382412565,0.0,15.0,0.0,25.357536655686253,-0.4881952758585377,0.1148071330111461,10581.762082203471,10613.707920603003,10530.099849460747,10562.045687860274
