Position_X,Position_Y,Position_Z,Orientation_Roll,Orientation_Pitch,Orientation_Yaw,Angular_Velocity_Roll,Angular_Velocity_Pitch,Angular_Velocity_Yaw,Load_Position_X,Load_Position_Y,Load_Position_Z,Wave_Height,Load_Velocity_Z,Buoyant_Force_1_X,Buoyant_Force_1_Y,Buoyant_Force_2_X,Buoyant_Force_2_Y
0.0,0.0,-0.27683059665773985,-0.000260226705342557,0.0020411537277049913,0.0,0.00634844252650162,0.00939673305810864,0.0,15.0,0.0,24.749698403885247,0.147253641633264,-0.40440078913647287,10138.50552512143,10120.438213548656,10165.183849215055,10147.116537642276
0.0,0.0,-0.2972127702032976,-4.9181448746866816e-05,0.0025100313240575332,0.0,0.004220905131913803,0.009377551927050835,0.0,15.0,0.0,24.77062277359243,0.12688418317650474,-0.4076434709111556,10153.429141206489,10127.090833716478,10152.05189093172,10125.713583441706
0.0,0.0,-0.3177754725324671,3.302398085097725e-05,0.0029583216360164473,0.0,0.0016441085919568811,0.008965806239178278,0.0,15.0,0.0,24.79172157133302,0.10632219592978265,-0.41125404658338904,10166.237175372245,10134.33713451777,10136.672837034128,10104.772796179654
0.0,0.0,-0.3385370819303564,-2.2861139143584008e-05,0.0033671579862498517,0.0,-0.001117702399891225,0.008176727004668089,0.0,15.0,0.0,24.81296465183599,0.08559887979861913,-0.41523218795778705,10177.273727206284,10143.083215834944,10120.615856267164,10086.425344895824
0.0,0.0,-0.3595128755406497,-0.00021193990571760776,0.0037192553853406187,0.0,-0.0037815753314804743,0.007041947981815335,0.0,15.0,0.0,24.83432067694769,0.06474567948223642,-0.41951587220586556,10187.077625087704,10154.099519137646,10105.597535729741,10072.619429779681
0.0,0.0,-0.3807119655846448,-0.0005156612198365638,0.0039996620205178975,0.0,-0.006074426282379121,0.005608132703545574,0.0,15.0,0.0,24.85575619853926,0.04379423676075633,-0.42398180087990234,10196.341775908943,10167.956796767825,10093.389973852325,10065.004994711207
0.0,0.0,-0.40213444313392915,-0.0009036921730844254,0.004196409396868194,0.0,-0.00776061906495723,0.003934947527005929,0.0,15.0,0.0,24.87723473358755,0.022776342483227043,-0.4284495509856868,10205.85273805515,10184.97802571105,10085.713388750986,10064.838676406887
0.0,0.0,-0.4237689127554835,-0.0013369803097435838,0.004301032842372787,0.0,-0.008665762733183167,0.002092468910091865,0.0,15.0,0.0,24.898715931785105,0.0017238883295096125,-0.43268939243108717,10216.414809677097,10205.209309133472,10084.119577400104,10072.91407685648
0.0,0.0,-0.4455905884229678,-0.0017716965569619621,0.004308939727917902,0.0,-0.008694324944367567,0.00015813771090229345,0.0,15.0,0.0,24.9201549528561,-0.019331181580739713,-0.43643351334968566,10228.764836697439,10228.411241813197,10089.87419724882,10089.52060236458
0.0,0.0,-0.46756009910366664,-0.0021636607069467,0.004219609380149612,0.0,-0.007839282999694755,-0.0017866069553657928,0.0,15.0,0.0,24.941502171876266,-0.040356919158892765,-0.43939021361397756,10243.485352952253,10254.07062137128,10103.84689699392,10114.432165412947
0.0,0.0,-0.4896231220975237,-0.0024728026253253137,0.004036615991210172,0.0,-0.00618283836757228,-0.0036598677787888197,0.0,15.0,0.0,24.962703312862864,-0.061321420823989226,-0.44126045987714096,10260.924402239449,10281.430902540995,10126.418646481809,10146.925146783355
0.0,0.0,-0.5117109242143556,-0.0026672087703754873,0.003767473534365708,0.0,-0.003888122901003466,-0.005382849136889272,0.0,15.0,0.0,24.98370007573319,-0.08219287591184526,-0.4417560423366388,10281.13036822355,10309.53855082791,10157.415134419642,10185.823317024002
0.0,0.0,-0.5337418458452015,-0.0027263454938843776,0.0034233094399530777,0.0,-0.0011827344701778055,-0.006883281888252602,0.0,15.0,0.0,25.004431276046837,-0.10293961494334425,-0.44061843261691636,10303.809341396034,10337.301566189477,10196.073824951747,10229.56604974519
0.0,0.0,-0.555623711551504,-0.002643133711381335,0.0030183812331400954,0.0,0.0016642356500608515,-0.008098564136259648,0.0,15.0,0.0,25.02483446934179,-0.12353015767827916,-0.43763731412605184,10328.311038130065,10363.555980918556,10241.05026662049,10276.295209408989
0.0,0.0,-0.5772570938905889,-0.0024246654754900582,0.002569457161062094,0.0,0.004369364717825535,-0.008978481441560032,0.0,15.0,0.0,25.044847989639194,-0.14393326088228234,-0.43266764678169745,10353.647159235385,10387.136085903372,10290.466654659464,10323.955581327451
0.0,0.0,-0.5985392964607276,-0.0020914900634796925,0.002095087749129991,0.0,0.006663508240207318,-0.00948738823864206,0.0,15.0,0.0,25.064413298305688,-0.1641179657338921,-0.42564405140277317,10378.543469942884,10406.944430994672,10342.002615591326,10370.403576643115
0.0,0.0,-0.6193688604188891,-0.0016755415851219672,0.0016147999718838454,0.0,0.008318969567154506,-0.00960575554492291,0.0,15.0,0.0,25.08347751393587,-0.18405364480022546,-0.4165912791632288,10401.523959611108,10422.01814614343,10393.024889674756,10413.519076207083
0.0,0.0,-0.6396503403943375,-0.001216917277620038,0.0011482490978413549,0.0,0.009172486150038583,-0.009331017480849808,0.0,15.0,0.0,25.101995972295263,-0.20371004850988786,-0.40562959950896943,10421.022386043845,10431.588684685394,10440.749236172114,10451.315534813668
0.0,0.0,-0.6592990468033814,-0.0007598317385579516,0.0007143651208887214,0.0,0.009141710781241725,-0.00867767953905267,0.0,15.0,0.0,25.119934643765,-0.22305735105215707,-0.3929741281808756,10435.51355380376,10435.132563769412,10482.424719348857,10482.043729314508
0.0,0.0,-0.6782454192544825,-0.0003481556132612264,0.00033053093654361067,0.0,0.008233522505934504,-0.007676683686902213,0.0,15.0,0.0,25.13727221358181,-0.2420661956336997,-0.3789274490220224,10443.654091861523,10432.410997153074,10515.527832749853,10504.284738041402
0.0,0.0,-0.6964386873695028,-2.0989255993066492e-05,1.182804368143577e-05,0.0,0.006543327145363198,-0.006374057857243497,0.0,15.0,0.0,25.15400161211486,-0.2607077390232222,-0.3638653623004065,10444.420592914183,10423.496497231963,10537.952000688514,10517.027905006293
0.0,0.0,-0.7138494969465219,0.00019128164203718653,-0.00022961739092340172,0.0,0.00424541796060506,-0.0048289086920967495,0.0,15.0,0.0,25.170130777858937,-0.2789536953169416,-0.3482161915403819,10437.232065607011,10408.784664054501,10548.177171051497,10519.729769498987
